iter	RMSE
0	1.08764155
1	1.042547628
2	1.002594631
3	0.9698642902
4	0.9399442144
5	0.9131131117
6	0.891045275
7	0.8714811777
8	0.8562003379
9	0.8403727126
10	0.8275363504
11	0.816709863
12	0.8083852557
13	0.7982286556
14	0.7910840008
15	0.7854286787
16	0.7794079064
17	0.7727313537
18	0.7692571223
19	0.766059291
20	0.7640563095
21	0.7606431693
22	0.7569847969
23	0.7549020382
24	0.7516262748
25	0.7500519239
26	0.748287609
27	0.7462665483
28	0.7434896027
29	0.7413897355
30	0.7397034057
31	0.7388938817
32	0.7379657248
33	0.7373209178
34	0.7361914803
35	0.735233604
36	0.7335008226
37	0.7322048815
38	0.7309187193
39	0.7303340093
40	0.7299621926
41	0.7288516275
42	0.7279889995
43	0.7277964621
44	0.7273235701
45	0.7265306192
46	0.7261012929
47	0.7255900214
48	0.7251535238
49	0.7246782611
50	0.7240526003
51	0.7237590746
52	0.7233693919
53	0.7229320909
54	0.7224127755
55	0.7220676647
56	0.7217122529
57	0.7212674976
58	0.7202386975
59	0.719399897
60	0.7189187511
61	0.7183353398
62	0.7180009038
63	0.7177056694
64	0.7173202356
65	0.7166625449
66	0.7155148718
67	0.7151582279
68	0.7148530467
69	0.7143793972
70	0.7138590759
71	0.7135984254
72	0.7127510218
73	0.7125246172
74	0.712319951
75	0.7120966665
76	0.7118343997
77	0.7114624979
78	0.7110254409
79	0.71030389
80	0.7098439183
81	0.7087471629
82	0.708220449
83	0.707082258
84	0.7064523437
85	0.705914736
86	0.7057247046
87	0.7054448654
88	0.7047265831
89	0.7043654129
90	0.7038453027
91	0.7029891353
92	0.7024582821
93	0.7018773107
94	0.7011343257
95	0.7006112482
96	0.700022757
97	0.6995985767
98	0.6992664941
99	0.6989517204
100	0.6983363703
101	0.6978789384
102	0.6970727102
103	0.6965266798
104	0.6956877985
105	0.6947903931
106	0.6940396803
107	0.6933332357
108	0.6927760565
109	0.6922933444
110	0.6914329288
111	0.6909035393
112	0.6903152572
113	0.6893500198
114	0.6887697365
115	0.6883228273
116	0.6875054998
117	0.6868902245
118	0.6863041198
119	0.685551932
120	0.6850670123
121	0.6844003779
122	0.6835440416
123	0.682654291
124	0.6821173197
125	0.6814913663
126	0.6807330592
127	0.6802360156
128	0.6795370805
129	0.67896811
130	0.6784084312
131	0.6778258301
132	0.6772004465
133	0.6768645
134	0.6761834005
135	0.6755472445
136	0.674716026
137	0.6740574317
138	0.6733716989
139	0.6729133316
140	0.6724759333
141	0.6720997721
142	0.6715045031
143	0.6708541952
144	0.6705165118
145	0.6695192635
146	0.668655689
147	0.668016811
148	0.667684087
149	0.6672330745
150	0.6665989486
151	0.6663356876
152	0.6660420353
153	0.665489839
154	0.6649393514
155	0.6645602539
156	0.6640485078
157	0.663891396
158	0.6633059193
159	0.6629817267
160	0.6624116585
161	0.6622369366
162	0.6618900654
163	0.6613486218
164	0.6609930906
165	0.6606043644
166	0.6602984765
167	0.660101013
168	0.659429144
169	0.6588117444
170	0.6583598445
171	0.6580400402
172	0.657719076
173	0.6574548285
174	0.6570826213
175	0.6567047492
176	0.656171369
177	0.6555466467
178	0.6551023243
179	0.6546387246
180	0.6542717568
181	0.6537934366
182	0.6533630117
183	0.6530099733
184	0.652727867
185	0.6525206572
186	0.6520875152
187	0.6517814867
188	0.6513290512
189	0.6507853174
190	0.6504354152
191	0.6499567241
192	0.6495402963
193	0.6492638582
194	0.6489132448
195	0.6485439069
196	0.6482974618
197	0.6479571806
198	0.6475473974
199	0.6472366438
200	0.6466882587
201	0.6463568658
202	0.6461587823
203	0.6457402863
204	0.6453579548
205	0.6450267825
206	0.6445805099
207	0.6442740148
208	0.6441393571
209	0.6437903555
210	0.6435849257
211	0.6433824229
212	0.6429677497
213	0.6426585355
214	0.6424043584
215	0.6420784839
216	0.6417650048
217	0.6414152188
218	0.6412324062
219	0.6409049812
220	0.6406327077
221	0.6403498751
222	0.6398657181
223	0.6397284602
224	0.6395367553
225	0.6390060257
226	0.6385410979
227	0.6382527966
228	0.6378904307
229	0.6375856158
230	0.6373773196
231	0.6370791219
232	0.6368452918
233	0.6362894639
234	0.6359737214
235	0.6355153309
236	0.6352391698
237	0.6349630448
238	0.6346385055
239	0.6344482968
240	0.6341772117
241	0.6339993363
242	0.6334071924
243	0.6328423457
244	0.6323493244
245	0.6320123955
246	0.6316542552
247	0.6314013696
248	0.6312532302
249	0.6310059548
250	0.6307953127
251	0.6304248657
252	0.6299509413
253	0.6296397131
254	0.6293672561
255	0.6292234791
256	0.6290199395
257	0.628700849
258	0.6282233173
259	0.6278719621
260	0.6275518805
261	0.6271773791
262	0.6269152351
263	0.6267349807
264	0.626601742
265	0.6261714766
266	0.626059774
267	0.6257662007
268	0.6253585858
269	0.6249610353
270	0.6245652106
271	0.6240716928
272	0.6237277129
273	0.623490457
274	0.6231864554
275	0.6230230696
276	0.6227226555
277	0.6223312295
278	0.6221642429
279	0.6219786823
280	0.6217477137
281	0.6213629399
282	0.6212177319
283	0.620919274
284	0.6206739325
285	0.6203214293
286	0.6201141449
287	0.6198466573
288	0.619341624
289	0.6191085824
290	0.6187683016
291	0.6184636783
292	0.6181238938
293	0.6177685239
294	0.6174373141
295	0.6171034951
296	0.6168036161
297	0.6163638207
298	0.6161190154
299	0.6159208754
