iter	Passed	Remaining
0	4	1397
1	8	1281
2	12	1198
3	15	1143
4	19	1140
5	23	1127
6	26	1104
7	29	1083
8	33	1082
9	37	1079
10	40	1076
11	44	1069
12	48	1064
13	52	1063
14	55	1059
15	59	1058
16	63	1054
17	67	1052
18	70	1045
19	74	1037
20	77	1031
21	81	1029
22	85	1030
23	89	1023
24	92	1017
25	95	1010
26	99	1006
27	103	1001
28	106	993
29	109	987
30	113	981
31	116	977
32	120	971
33	123	966
34	126	961
35	130	957
36	134	953
37	137	947
38	140	942
39	144	938
40	148	935
41	151	929
42	154	923
43	157	918
44	161	915
45	165	911
46	168	907
47	171	901
48	175	898
49	178	894
50	182	891
51	186	889
52	190	886
53	193	881
54	197	878
55	200	873
56	203	869
57	207	865
58	211	862
59	214	857
60	217	853
61	221	848
62	224	844
63	226	835
64	230	832
65	234	829
66	237	827
67	241	825
68	246	824
69	249	821
70	253	817
71	257	814
72	261	812
73	264	807
74	267	803
75	271	800
76	275	797
77	278	793
78	282	790
79	285	786
80	289	782
81	293	779
82	296	775
83	300	771
84	303	767
85	307	764
86	311	761
87	314	757
88	318	754
89	321	750
90	325	747
91	329	744
92	332	740
93	336	736
94	340	734
95	343	730
96	347	728
97	351	724
98	355	722
99	359	719
100	363	715
101	366	712
102	370	709
103	374	705
104	378	702
105	381	698
106	385	695
107	389	692
108	393	689
109	396	685
110	400	682
111	404	679
112	408	675
113	411	672
114	415	668
115	419	665
116	423	662
117	426	658
118	430	655
119	434	651
120	439	649
121	443	646
122	447	643
123	451	640
124	455	637
125	459	634
126	462	630
127	466	626
128	470	623
129	474	620
130	477	616
131	481	612
132	485	609
133	489	606
134	492	602
135	496	598
136	500	595
137	503	591
138	507	587
139	511	584
140	514	580
141	519	577
142	522	573
143	526	570
144	529	566
145	533	563
146	537	559
147	541	556
148	544	552
149	548	548
150	552	545
151	556	541
152	559	537
153	563	534
154	567	530
155	570	526
156	573	522
157	577	518
158	581	515
159	584	511
160	588	508
161	591	504
162	595	500
163	599	496
164	602	493
165	606	489
166	609	485
167	613	481
168	617	478
169	620	474
170	623	470
171	627	467
172	631	463
173	634	459
174	638	456
175	641	452
176	645	448
177	649	445
178	652	441
179	656	437
180	659	433
181	663	430
182	667	426
183	671	423
184	674	419
185	678	415
186	681	412
187	685	408
188	688	404
189	692	400
190	696	397
191	699	393
192	703	389
193	706	386
194	710	382
195	714	378
196	717	375
197	720	371
198	724	367
199	728	364
200	731	360
201	735	356
202	738	352
203	742	349
204	746	345
205	749	341
206	752	338
207	756	334
208	760	331
209	763	327
210	767	323
211	770	319
212	774	316
213	778	312
214	782	309
215	785	305
216	789	301
217	792	298
218	796	294
219	799	290
220	803	287
221	807	283
222	810	279
223	813	276
224	817	272
225	821	268
226	824	265
227	828	261
228	832	258
229	836	254
230	840	250
231	843	247
232	847	243
233	850	239
234	854	236
235	857	232
236	860	228
237	864	225
238	867	221
239	871	217
240	874	214
241	878	210
242	881	206
243	885	203
244	888	199
245	892	195
246	895	192
247	898	188
248	903	184
249	906	181
250	909	177
251	913	173
252	916	170
253	920	166
254	924	163
255	927	159
256	930	155
257	934	152
258	938	148
259	941	144
260	945	141
261	948	137
262	952	133
263	955	130
264	959	126
265	962	123
266	965	119
267	969	115
268	973	112
269	976	108
270	980	104
271	984	101
272	987	97
273	991	94
274	994	90
275	998	86
276	1002	83
277	1005	79
278	1008	75
279	1012	72
280	1016	68
281	1020	65
282	1023	61
283	1027	57
284	1031	54
285	1035	50
286	1038	47
287	1042	43
288	1045	39
289	1049	36
290	1052	32
291	1055	28
292	1059	25
293	1062	21
294	1066	18
295	1069	14
296	1073	10
297	1076	7
298	1080	3
299	1084	0
