,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
0,6.7,0,0,0,3,1,7,3,1,0,3,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
1,5.1,1,2,0,0,1,5,0,1,1,1,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
2,7.0,0,0,0,0,2,2,3,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
4,5.5,0,0,0,0,0,2,15,2,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5182
5,5.0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
6,6.7,0,0,4,0,0,0,3,7,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
7,6.6,0,0,0,0,0,0,4,0,4,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
8,4.3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5182
9,6.6,2,0,7,1,0,1,6,4,1,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
12,6.7,3,0,0,0,0,0,7,8,11,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
13,4.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
14,4.4,1,0,0,0,0,0,1,4,6,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
15,5.4,0,0,4,1,4,2,4,2,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,716
16,6.1,1,0,1,0,1,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,716
17,6.4,3,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1042
18,7.1,7,0,1,0,1,0,10,9,2,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
19,8.1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5182
20,3.7,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
21,6.1,1,0,0,2,1,2,3,8,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
22,5.0,0,0,0,0,0,0,0,0,9,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
23,7.5,1,2,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,716
24,6.1,0,0,0,0,0,2,1,0,4,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
25,6.3,0,0,3,1,2,1,1,1,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140
26,7.5,1,0,4,2,2,0,1,0,4,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
27,6.7,0,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
28,7.1,0,0,3,0,0,3,5,1,0,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,716
29,5.5,2,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
30,6.4,0,0,0,1,0,1,4,2,1,7,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
31,7.1,0,0,0,0,0,0,3,1,0,1,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
32,5.6,2,0,0,1,0,0,1,0,1,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
33,4.8,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5182
34,7.9,0,0,6,1,2,0,4,7,3,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,313
35,7.3,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5182
36,5.0,0,0,0,0,0,0,0,11,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5182
37,8.0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213
38,7.2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16
39,7.5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23
40,6.7,2,0,1,0,0,0,3,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5182
41,5.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5182
42,6.4,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5182
43,7.6,0,0,2,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,716
44,4.6,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
45,3.7,9,0,0,0,2,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5182
46,4.2,0,0,2,0,0,0,0,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
47,7.1,0,0,0,0,0,0,0,1,0,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
48,8.2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140
49,6.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
50,7.1,14,0,3,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
51,5.1,0,0,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1042
52,6.5,1,0,0,0,0,0,3,4,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
53,6.7,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
54,8.1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,313
55,6.7,0,0,0,0,0,0,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,716
56,7.2,0,0,0,3,6,2,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
58,7.3,1,0,0,1,0,0,0,4,0,3,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
59,4.4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88
60,5.4,0,0,0,0,0,1,2,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78
61,6.6,0,0,0,0,1,2,4,2,6,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
62,5.6,0,0,0,0,0,0,15,6,0,2,9,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
