id;festival;categoria;año;premiado_a;director
0;Festival de Cannes ; Palma de Oro: Mejor película: ;2023; El triángulo de la tristeza ; Ruben Östlund
1;Festival de Cannes ; Palma de Oro: Mejor película: ;2022; Titane ; Harris Dickinson
2;Festival de Cannes ; Palma de Oro: Mejor película: ;2021; Parásitos ; Charlbi Dean
3;Festival de Cannes ; Palma de Oro: Mejor película: ;2020; Un asunto de familia ; Zlatko Buric
4;Festival de Cannes ; Palma de Oro: Mejor película: ;2019; The Square ; Julia Ducournau
5;Festival de Cannes ; Palma de Oro: Mejor película: ;2018; Yo, Daniel Blake ; Agathe Rousselle
6;Festival de Cannes ; Palma de Oro: Mejor película: ;2017; Dheepan ; Vincent Lindon
7;Festival de Cannes ; Palma de Oro: Mejor película: ;2016; Sueño de invierno (Winter Sleep) ; Garance Marillier
8;Festival de Cannes ; Palma de Oro: Mejor película: ;2015; La vida de Adèle ; Bong Joon-ho
9;Festival de Cannes ; Palma de Oro: Mejor película: ;2014; Amor ; Song Kang-ho
10;Festival de Cannes ; Palma de Oro: Mejor película: ;2013; El árbol de la vida ; Lee Sun-Kyun
11;Festival de Cannes ; Palma de Oro: Mejor película: ;2012; Tío Boonmee recuerda sus vidas pasadas ; Jang Hye-jin
12;Festival de Cannes ; Palma de Oro: Mejor película: ;2011; La cinta blanca ; Hirokazu Koreeda
13;Festival de Cannes ; Palma de Oro: Mejor película: ;2010; La clase ; Kirin Kiki
14;Festival de Cannes ; Palma de Oro: Mejor película: ;2009; 4 meses, 3 semanas, 2 días ; Sôsuke Ikematsu
15;Festival de Cannes ; Palma de Oro: Mejor película: ;2008; El viento que agita la cebada ; Lily Franky
16;Festival de Cannes ; Palma de Oro: Mejor película: ;2007; El niño ; Ruben Östlund
17;Festival de Cannes ; Palma de Oro: Mejor película: ;2006; Fahrenheit 9/11 ; Claes Bang
18;Festival de Cannes ; Palma de Oro: Mejor película: ;2005; Elephant ; Elisabeth Moss
19;Festival de Cannes ; Palma de Oro: Mejor película: ;2004; El pianista ; Dominic West
20;Festival de Cannes ; Palma de Oro: Mejor película: ;2003; La habitación del hijo ; Ken Loach
21;Festival de Cannes ; Palma de Oro: Mejor película: ;2002; Bailar en la oscuridad ; Dave Johns
22;Festival de Cannes ; Palma de Oro: Mejor película: ;2001; Rosetta ; Hayley Squires
23;Festival de Cannes ; Palma de Oro: Mejor película: ;2000; La eternidad y un día ; Briana Shann
24;Festival de Cannes ; Palma de Oro: Mejor película: ;1999; El sabor de las cerezas ; Jacques Audiard
25;Festival de Cannes ; Palma de Oro: Mejor película: ;1998; La anguila ; Jesuthasan Antonythasan
26;Festival de Cannes ; Palma de Oro: Mejor película: ;1997; Secretos y mentiras ; Kalieaswari Srinivasan
27;Festival de Cannes ; Palma de Oro: Mejor película: ;1996; Underground ; Claudine Vinasithamby
28;Festival de Cannes ; Palma de Oro: Mejor película: ;1995; Pulp Fiction ; Nuri Bilge Ceylan
29;Festival de Cannes ; Palma de Oro: Mejor película: ;1994; El piano ; Haluk Bilginer
30;Festival de Cannes ; Palma de Oro: Mejor película: ;1993; Adiós a mi concubina ; Melisa Sözen
31;Festival de Cannes ; Palma de Oro: Mejor película: ;1992; Las mejores intenciones ; Demet Akbag
32;Festival de Cannes ; Palma de Oro: Mejor película: ;1991; Barton Fink ; Abdellatif Kechiche
33;Festival de Cannes ; Palma de Oro: Mejor película: ;1990; Corazón salvaje ; Adèle Exarchopoulos
34;Festival de Cannes ; Palma de Oro: Mejor película: ;1989; Sexo, mentiras y cintas de video ; Léa Seydoux
35;Festival de Cannes ; Palma de Oro: Mejor película: ;1988; Pelle el conquistador ; Salim Kechiouche
36;Festival de Cannes ; Palma de Oro: Mejor película: ;1987; Bajo el sol de Satán ; Michael Haneke
37;Festival de Cannes ; Palma de Oro: Mejor película: ;1986; La misión ; Jean-Louis Trintignant
38;Festival de Cannes ; Palma de Oro: Mejor película: ;1985; Papá está en viaje de negocios ; Emmanuelle Riva
39;Festival de Cannes ; Palma de Oro: Mejor película: ;1984; Paris, Texas ; Isabelle Huppert
40;Festival de Cannes ; Palma de Oro: Mejor película: ;1983; La balada de Narayama ; Terrence Malick
41;Festival de Cannes ; Palma de Oro: Mejor película: ;1982; El camino ; Brad Pitt
42;Festival de Cannes ; Palma de Oro: Mejor película: ;1981; Missing (Desaparecido) ; Jessica Chastain
43;Festival de Cannes ; Palma de Oro: Mejor película: ;1980; El hombre de hierro ; Hunter McCracken
44;Festival de Cannes ; Palma de Oro: Mejor película: ;1979; Kagemusha, la sombra del guerrero ; Apichatpong Weerasethakul
45;Festival de Cannes ; Palma de Oro: Mejor película: ;1978; All That Jazz (Empieza el espectáculo) ; Thanapat Saisaymar
46;Festival de Cannes ; Palma de Oro: Mejor película: ;1977; El tambor de hojalata ; Jenjira Jansuda
47;Festival de Cannes ; Palma de Oro: Mejor película: ;1976; Apocalypse Now ; Sakda Kaewbuadee
48;Festival de Cannes ; Palma de Oro: Mejor película: ;1975; El árbol de los zuecos ; Michael Haneke
49;Festival de Cannes ; Palma de Oro: Mejor película: ;1974; Padre patrón (Padre padrone) ; Susanne Lothar
50;Festival de Cannes ; Palma de Oro: Mejor película: ;1973; Taxi Driver ; Ulrich Tukur
51;Festival de Cannes ; Palma de Oro: Mejor película: ;1972; Crónica de los años de fuego ; Leonard Proxauf
52;Festival de Cannes ; Palma de Oro: Mejor película: ;1971; La conversación ; Laurent Cantet
53;Festival de Cannes ; Palma de Oro: Mejor película: ;1970; El equívoco ; François Bégaudeau
54;Festival de Cannes ; Palma de Oro: Mejor película: ;1969; El espantapájaros ; Nassim Amrabt
55;Festival de Cannes ; Palma de Oro: Mejor película: ;1968; La clase obrera va al paraíso ; Laura Baquela
56;Festival de Cannes ; Palma de Oro: Mejor película: ;1967; El caso Mattei ; Cristian Mungiu
57;Festival de Cannes ; Palma de Oro: Mejor película: ;1966; El mensajero ; Anamaria Marinca
58;Festival de Cannes ; Palma de Oro: Mejor película: ;1965; M.A.S.H. ; Vlad Ivanov
59;Festival de Cannes ; Palma de Oro: Mejor película: ;1964; If.... ; Laura Vasiliu
60;Festival de Cannes ; Palma de Oro: Mejor película: ;1963; Blow-Up (Deseo de una mañana de verano) ; Alexandru Potocean
61;Festival de Cannes ; Palma de Oro: Mejor película: ;1962; Un hombre y una mujer ; Ken Loach
62;Festival de Cannes ; Palma de Oro: Mejor película: ;1961; Señoras y señores ; Cillian Murphy
63;Festival de Cannes ; Palma de Oro: Mejor película: ;1960; El knack... y cómo conseguirlo ; Padraic Delaney
64;Festival de Cannes ; Palma de Oro: Mejor película: ;1959; Los paraguas de Cherburgo ; Liam Cunningham
65;Festival de Cannes ; Palma de Oro: Mejor película: ;1958; El gatopardo ; Jean-Pierre Dardenne
66;Festival de Cannes ; Palma de Oro: Mejor película: ;1957; El pagador de promesas ; Luc Dardenne
67;Festival de Cannes ; Palma de Oro: Mejor película: ;1956; Viridiana ; Jérémie Rénier
68;Festival de Cannes ; Palma de Oro: Mejor película: ;1955; Una larga ausencia ; Déborah François
69;Festival de Cannes ; Palma de Oro: Mejor película: ;1954; La dolce vita ; Jérémie Segard
70;Festival de Cannes ; Palma de Oro: Mejor película: ;1953; Orfeo negro ; Michael Moore
71;Festival de Cannes ; Palma de Oro: Mejor película: ;1952; Cuando pasan las cigüeñas ; Michael Moore
72;Festival de Cannes ; Palma de Oro: Mejor película: ;1951; La gran prueba ; George W. Bush
73;Festival de Cannes ; Palma de Oro: Mejor película: ;1950; El mundo del silencio ; Gus Van Sant
74;Festival de Cannes ; Palma de Oro: Mejor película: ;1949; Marty ; Alex Frost
75;Festival de Cannes ; Palma de Oro: Mejor película: ;1948; La puerta del infierno ; Eric Deulen
76;Festival de Cannes ; Palma de Oro: Mejor película: ;1947; El salario del miedo ; John Robinson
77;Festival de Cannes ; Palma de Oro: Mejor película: ;1946; Otelo (Othello) ; Roman Polanski
78;Festival de Cannes ; Palma de Oro: Mejor película: ;1945; Dos centavos de esperanza ; Adrien Brody
79;Festival de Cannes ; Palma de Oro: Mejor película: ;1944; Milagro en Milán ; Thomas Kretschmann
80;Festival de Cannes ; Palma de Oro: Mejor película: ;1943; La señorita Julie ; Maureen Lipman
81;Festival de Cannes ; Palma de Oro: Mejor película: ;1942; El tercer hombre ; Nanni Moretti
82;Festival de Cannes ; Palma de Oro: Mejor película: ;1941; El punto decisivo ; Nanni Moretti
83;Festival de Cannes ; Palma de Oro: Mejor película: ;1940; Días sin huella ; Laura Morante
84;Festival de Cannes ; Palma de Oro: Mejor película: ;1939; Roma, ciudad abierta ; Jasmine Trinca
85;Festival de Cannes ; Gran Premio del Jurado: ;2023; Stars at Noon ; Claire Denis
86;Festival de Cannes ; Gran Premio del Jurado: ;2022; Close ; Margaret Qualley
87;Festival de Cannes ; Gran Premio del Jurado: ;2021; Compartimento Nº 6 ; Joe Alwyn
88;Festival de Cannes ; Gran Premio del Jurado: ;2020; Un héroe ; Danny Ramirez
89;Festival de Cannes ; Gran Premio del Jurado: ;2019; Atlantique ; Lukas Dhont
90;Festival de Cannes ; Gran Premio del Jurado: ;2018; Infiltrado en el KKKlan ; Eden Dambrine
91;Festival de Cannes ; Gran Premio del Jurado: ;2017; 120 pulsaciones por minuto ; Gustav De Waele
92;Festival de Cannes ; Gran Premio del Jurado: ;2016; Sólo el fin del mundo ; Émilie Dequenne
93;Festival de Cannes ; Gran Premio del Jurado: ;2015; El hijo de Saúl ; Juho Kuosmanen
94;Festival de Cannes ; Gran Premio del Jurado: ;2014; El país de las maravillas ; Seidi Haarla
95;Festival de Cannes ; Gran Premio del Jurado: ;2013; A propósito de Llewyn Davis ; Yuriy Borisov
96;Festival de Cannes ; Gran Premio del Jurado: ;2012; Reality ; Dinara Drukarova
97;Festival de Cannes ; Gran Premio del Jurado: ;2011; Érase una vez en Anatolia ; Asghar Farhadi
98;Festival de Cannes ; Gran Premio del Jurado: ;2010; El niño de la bicicleta ; Amir Jadidi
99;Festival de Cannes ; Gran Premio del Jurado: ;2009; De dioses y hombres ; Abolfazl Ebrahimi
100;Festival de Cannes ; Gran Premio del Jurado: ;2008; Un profeta ; Fereshteh Sadrorafaei
101;Festival de Cannes ; Gran Premio del Jurado: ;2007; Gomorra ; Mati Diop
102;Festival de Cannes ; Gran Premio del Jurado: ;2006; El bosque del luto ; Ibrahima Mbaye
103;Festival de Cannes ; Gran Premio del Jurado: ;2005; Flandres ; Abdou Balde
104;Festival de Cannes ; Gran Premio del Jurado: ;2004; Flores rotas ; Mame Bineta Sane
105;Festival de Cannes ; Gran Premio del Jurado: ;2003; Oldboy ; Spike Lee
106;Festival de Cannes ; Gran Premio del Jurado: ;2002; Lejano ; John David Washington
107;Festival de Cannes ; Gran Premio del Jurado: ;2001; Un hombre sin pasado ; Adam Driver
108;Festival de Cannes ; Gran Premio del Jurado: ;2000; La pianista ; Topher Grace
109;Festival de Cannes ; Gran Premio del Jurado: ;1999; Los demonios en mi puerta ; Robin Campillo
110;Festival de Cannes ; Gran Premio del Jurado: ;1998; La humanidad ; Nahuel Pérez Biscayart
111;Festival de Cannes ; Gran Premio del Jurado: ;1997; La vida es bella ; Adèle Haenel
112;Festival de Cannes ; Gran Premio del Jurado: ;1996; El dulce porvenir ; Yves Heck
113;Festival de Cannes ; Gran Premio del Jurado: ;1995; Rompiendo las olas ; Xavier Dolan
114;Festival de Cannes ; Gran Premio del Jurado: ;1994; La mirada de Ulises ; Gaspard Ulliel
115;Festival de Cannes ; Gran Premio del Jurado: ;1993; Quemado por el sol ; Nathalie Baye
116;Festival de Cannes ; Gran Premio del Jurado: ;1992; ¡Vivir! ; Vincent Cassel
117;Festival de Cannes ; Gran Premio del Jurado: ;1991; ¡Tan lejos, tan cerca! ; László Nemes
118;Festival de Cannes ; Gran Premio del Jurado: ;1990; Niños robados ; Géza Röhrig
119;Festival de Cannes ; Gran Premio del Jurado: ;1989; La bella mentirosa ; Levente Molnár
120;Festival de Cannes ; Gran Premio del Jurado: ;1988; Tilaï (Cuestión de honor) ; Urs Rechn
121;Festival de Cannes ; Gran Premio del Jurado: ;1987; The Sting of Death ; Alice Rohrwacher
122;Festival de Cannes ; Gran Premio del Jurado: ;1986; Demasiado bella para ti ; Maria Alexandra Lungu
123;Festival de Cannes ; Gran Premio del Jurado: ;1985; Cinema Paradiso ; Sam Louwyck
124;Festival de Cannes ; Gran Premio del Jurado: ;1984; Un mundo aparte ; Alba Rohrwacher
125;Festival de Cannes ; Gran Premio del Jurado: ;1983; Arrepentimiento ; Joel Coen
126;Festival de Cannes ; Gran Premio del Jurado: ;1982; Sacrificio ; Ethan Coen
127;Festival de Cannes ; Gran Premio del Jurado: ;1981; Birdy ; Oscar Isaac
128;Festival de Cannes ; Gran Premio del Jurado: ;1980; Diario para mis hijos ; Carey Mulligan
129;Festival de Cannes ; Gran Premio del Jurado: ;1979; El sentido de la vida ; John Goodman
130;Festival de Cannes ; Gran Premio del Jurado: ;1978; La noche de San Lorenzo ; Matteo Garrone
131;Festival de Cannes ; Gran Premio del Jurado: ;1977; A años luz ; Aniello Arena
132;Festival de Cannes ; Gran Premio del Jurado: ;1976; Mi tío de América ; Loredana Simioli
133;Festival de Cannes ; Gran Premio del Jurado: ;1975; Siberiada ; Nando Paone
134;Festival de Cannes ; Gran Premio del Jurado: ;1974; El grito ; Nuri Bilge Ceylan
135;Festival de Cannes ; Gran Premio del Jurado: ;1973; Adiós al macho ; Muhammet Uzuner
136;Festival de Cannes ; Gran Premio del Jurado: ;1972; La marquesa de O ; Yilmaz Erdogan
137;Festival de Cannes ; Gran Premio del Jurado: ;1971; Cría cuervos... ; Taner Birsel
138;Festival de Cannes ; Gran Premio del Jurado: ;1970; El enigma de Gaspar Hauser ; Jean-Pierre Dardenne
139;Festival de Cannes ; Gran Premio del Jurado: ;1969; Las mil y una noches ; Luc Dardenne
140;Festival de Cannes ; Gran Premio del Jurado: ;1968; La mamá y la puta ; Cécile De France
141;Festival de Cannes ; Gran Premio del Jurado: ;1967; Solaris ; Thomas Doret
142;Festival de Cannes ; Gran Premio del Jurado: ;1966; Juventud sin esperanza ; Jérémie Rénier
143;Festival de Cannes ; Gran Premio del Jurado: ;1965; Johnny cogió su fusil ; Xavier Beauvois
144;Festival de Cannes ; Gran Premio del Jurado: ;1964; Investigación sobre un ciudadano libre de toda sospecha ; Lambert Wilson
145;Festival de Cannes ; Gran Premio del Jurado: ;1963; Adalen 31 ; Michael Lonsdale
146;Festival de Cannes ; Gran Premio del Jurado: ;1962; Encontré zíngaros felices ; Olivier Rabourdin
147;Festival de Cannes ; Gran Premio del Jurado: ;1961; Accidente ; Jacques Audiard
148;Festival de Cannes ; Gran Premio del Jurado: ;1960; Harakiri ; Tahar Rahim
149;Festival de Cannes ; Gran Premio del Jurado: ;1959; La estrella de David ; Niels Arestrup
150;Festival de Berlín ; Oso de Oro - Mejor película: ;2023; Sur l’Adamant ; Nicolas Philibert
151;Festival de Berlín ; Oso de Oro - Mejor película: ;2022; Alcarràs ; Carla Simón
152;Festival de Berlín ; Oso de Oro - Mejor película: ;2021; Un polvo desafortunado o porno loco ; Jordi Pujol Dolcet
153;Festival de Berlín ; Oso de Oro - Mejor película: ;2020; La vida de los demás ; Anna Otín
154;Festival de Berlín ; Oso de Oro - Mejor película: ;2019; Sinónimos ; Xenia Roset
155;Festival de Berlín ; Oso de Oro - Mejor película: ;2018; Touch Me Not  (No me toques) ; Radu Jude
156;Festival de Berlín ; Oso de Oro - Mejor película: ;2017; En cuerpo y alma ; Katia Pascariu
157;Festival de Berlín ; Oso de Oro - Mejor película: ;2016; Fuego en el mar ; Claudia Ieremia
158;Festival de Berlín ; Oso de Oro - Mejor película: ;2015; Taxi Teherán ; Olimpia Malai
159;Festival de Berlín ; Oso de Oro - Mejor película: ;2014; Black Coal ; Mohammad Rasoulof
160;Festival de Berlín ; Oso de Oro - Mejor película: ;2013; La mirada del hijo (Madre e hijo) ; Ehsan Mirhosseini
161;Festival de Berlín ; Oso de Oro - Mejor película: ;2012; César debe morir ; Shaghayegh Shoorian
162;Festival de Berlín ; Oso de Oro - Mejor película: ;2011; Nader y Simin, una separación ; Kaveh Ahangar
163;Festival de Berlín ; Oso de Oro - Mejor película: ;2010; Miel ; Nadav Lapid
164;Festival de Berlín ; Oso de Oro - Mejor película: ;2009; La teta asustada ; Tom Mercier
165;Festival de Berlín ; Oso de Oro - Mejor película: ;2008; Tropa de élite ; Quentin Dolmaire
166;Festival de Berlín ; Oso de Oro - Mejor película: ;2007; La boda de Tuya ; Louise Chevillotte
167;Festival de Berlín ; Oso de Oro - Mejor película: ;2006; Grbavica (El secreto de Esma) ; Adina Pintilie
168;Festival de Berlín ; Oso de Oro - Mejor película: ;2005; U-Carmen e-Khayelitsha ; Laura Benson
169;Festival de Berlín ; Oso de Oro - Mejor película: ;2004; Contra la pared ; Tómas Lemarquis
170;Festival de Berlín ; Oso de Oro - Mejor película: ;2003; In This World (En este mundo) ; Dirk Lange
171;Festival de Berlín ; Oso de Oro - Mejor película: ;2002; El viaje de Chihiro ; Ildikó Enyedi
172;Festival de Berlín ; Oso de Oro - Mejor película: ;2001; Bloody Sunday (Domingo sangriento) ; Morcsányi Géza
173;Festival de Berlín ; Oso de Oro - Mejor película: ;2000; Intimidad ; Alexandra Borbély
174;Festival de Berlín ; Oso de Oro - Mejor película: ;1999; Magnolia ; Ervin Nagy
175;Festival de Berlín ; Oso de Oro - Mejor película: ;1998; La delgada línea roja ; Gianfranco Rosi
176;Festival de Berlín ; Oso de Oro - Mejor película: ;1997; Estación central de Brasil ; Pietro Bartolo
177;Festival de Berlín ; Oso de Oro - Mejor película: ;1996; El escándalo de Larry Flynt ; Samuele Caruana
178;Festival de Berlín ; Oso de Oro - Mejor película: ;1995; Sentido y sensibilidad ; Jafar Panahi
179;Festival de Berlín ; Oso de Oro - Mejor película: ;1994; La carnaza ; Jafar Panahi
180;Festival de Berlín ; Oso de Oro - Mejor película: ;1993; En el nombre del padre ; Hana Saeidi
181;Festival de Berlín ; Oso de Oro - Mejor película: ;1992; Woman Sesame Oil Maker ; Nasrin Sotudé
182;Festival de Berlín ; Oso de Oro - Mejor película: ;1991; El banquete de boda ; Diao Yinan
183;Festival de Berlín ; Oso de Oro - Mejor película: ;1990; Grand Canyon (El alma de la ciudad) ; Liao Fan
184;Festival de Berlín ; Oso de Oro - Mejor película: ;1989; La casa de la sonrisa ; Gwei Lun-Mei
