id;festival;categoria;año;premiado_a;pelicula
0;Premios Razzie ; Peor dirección: ;2023; Machine Gun Kelly, Mod Sun ; Good Mourning 
1;Premios Razzie ; Peor dirección: ;2022; Christopher Ashley ; Lady Di: El musical 
2;Premios Razzie ; Peor dirección: ;2021; Sia ; Music 
3;Premios Razzie ; Peor dirección: ;2020; Tom Hooper ; Cats 
4;Premios Razzie ; Peor dirección: ;2019; Etan Cohen ; Holmes & Watson 
5;Premios Razzie ; Peor dirección: ;2018; Anthony Leondis ; Emoji: La película 
6;Premios Razzie ; Peor dirección: ;2017; Dinesh D'Souza, Bruce Schooley ; Hillary's America: The Secret History of the Democratic Party 
7;Premios Razzie ; Peor dirección: ;2016; Josh Trank ; Cuatro Fantásticos 
8;Premios Razzie ; Peor dirección: ;2015; Michael Bay ; Transformers: La era de la extinción 
9;Premios Razzie ; Peor dirección: ;2014; Todos los directores ; Movie 43 
10;Premios Razzie ; Peor dirección: ;2013; Bill Condon ; La saga Crepúsculo: Amanecer - Parte 2 
11;Premios Razzie ; Peor dirección: ;2012; Dennis Dugan ; Sígueme el rollo 
12;Premios Razzie ; Peor dirección: ;2011; Dennis Dugan ; Jack y su gemela (Jack y Jill) 
13;Premios Razzie ; Peor dirección: ;2010; M. Night Shyamalan ; Airbender, el último guerrero 
14;Premios Razzie ; Peor dirección: ;2009; Michael Bay ; Transformers: La venganza de los caídos 
15;Premios Razzie ; Peor dirección: ;2008; Uwe Boll ; Postal 
16;Premios Razzie ; Peor dirección: ;2007; Uwe Boll ; En el nombre del rey 
17;Premios Razzie ; Peor dirección: ;2006; Uwe Boll ; Tunnel Rats 
18;Premios Razzie ; Peor dirección: ;2005; Chris Sivertson ; Sé quién me mató 
19;Premios Razzie ; Peor dirección: ;2004; M. Night Shyamalan ; La joven del agua 
20;Premios Razzie ; Peor dirección: ;2003; John Asher ; Supersalidas 
21;Premios Razzie ; Peor dirección: ;2002; Pitof ; Catwoman 
22;Premios Razzie ; Peor dirección: ;2001; Martin Brest ; Una relación peligrosa (Gigli) 
23;Premios Razzie ; Peor dirección: ;2000; Guy Ritchie ; Barridos por la marea 
24;Premios Razzie ; Peor dirección: ;1999; Tom Green ; Freddy el colgao 
25;Premios Razzie ; Peor dirección: ;1998; Roger Christian ; Campo de batalla: La Tierra 
26;Premios Razzie ; Peor dirección: ;1997; Barry Sonnenfeld ; Wild Wild West 
27;Premios Razzie ; Peor dirección: ;1996; Gus Van Sant ; Psycho (Psicosis) 
28;Premios Razzie ; Peor dirección: ;1995; Kevin Costner ; Mensajero del futuro 
29;Premios Razzie ; Peor dirección: ;1994; Andrew Bergman ; Striptease 
30;Premios Razzie ; Peor dirección: ;1993; Paul Verhoeven ; Showgirls 
31;Premios Razzie ; Peor dirección: ;1992; Steven Seagal ; En tierra peligrosa 
32;Premios Razzie ; Peor dirección: ;1991; Jennifer Lynch ; Boxing Helena (Mi obsesión por Helena) 
33;Premios Razzie ; Peor dirección: ;1990; David Seltzer ; Resplandor en la oscuridad 
34;Premios Razzie ; Peor dirección: ;1989; Michael Lehmann ; El gran halcón 
35;Premios Razzie ; Peor dirección: ;1988; John Derek ; Los fantasmas no pueden... hacerlo 
36;Premios Razzie ; Peor dirección: ;1987; William Shatner ; Star Trek V. La última frontera 
37;Premios Razzie ; Peor dirección: ;1986; Stewart Raffill ; Mi amigo Mac 
38;Premios Razzie ; Peor dirección: ;1985; Blake Edwards ; Asesinato en Beverly Hills 
39;Premios Razzie ; Peor dirección: ;1984; Elaine May ; Ishtar 
40;Premios Razzie ; Peor dirección: ;1983; Norman Mailer ; Los hombres duros no bailan 
41;Premios Razzie ; Peor dirección: ;1982; Prince ; Under the Cherry Moon 
42;Premios Razzie ; Peor dirección: ;1981; Sylvester Stallone ; Rocky IV 
43;Premios Razzie ; Peor actor: ;2023; Jared Leto ; Morbius 
44;Premios Razzie ; Peor actor: ;2022; LeBron James ; Space Jam: Nuevas leyendas 
45;Premios Razzie ; Peor actor: ;2021; Mike Lindell ; Absolute Proof 
46;Premios Razzie ; Peor actor: ;2020; John Travolta ; Nacido para ganar 
47;Premios Razzie ; Peor actor: ;2019; John Travolta ; Fanático 
48;Premios Razzie ; Peor actor: ;2018; Donald Trump ; Fahrenheit 11/9 
49;Premios Razzie ; Peor actor: ;2017; Donald Trump ; Death of a Nation 
50;Premios Razzie ; Peor actor: ;2016; Tom Cruise ; La momia 
51;Premios Razzie ; Peor actor: ;2015; Dinesh D'Souza ; Hillary's America: The Secret History of the Democratic Party 
52;Premios Razzie ; Peor actor: ;2014; Jamie Dornan ; Cincuenta sombras de Grey 
53;Premios Razzie ; Peor actor: ;2013; Kirk Cameron ; Saving Christmas 
54;Premios Razzie ; Peor actor: ;2012; Jaden Smith ; After Earth 
55;Premios Razzie ; Peor actor: ;2011; Adam Sandler ; Desmadre de padre 
56;Premios Razzie ; Peor actor: ;2010; Adam Sandler ; Sígueme el rollo 
57;Premios Razzie ; Peor actor: ;2009; Adam Sandler ; Jack y su gemela (Jack y Jill) 
58;Premios Razzie ; Peor actor: ;2008; Ashton Kutcher ; Historias de San Valentín 
59;Premios Razzie ; Peor actor: ;2007; Ashton Kutcher ; Killers 
60;Premios Razzie ; Peor actor: ;2006; Kevin Jonas, Joe Jonas, Nick Jonas ; Jonas Brothers: The 3D Concert Experience 
61;Premios Razzie ; Peor actor: ;2005; Mike Myers ; El gurú del buen rollo (The Love Guru) 
62;Premios Razzie ; Peor actor: ;2004; Eddie Murphy ; Norbit 
63;Premios Razzie ; Peor actor: ;2003; Marlon Wayans, Shawn Wayans ; Pequeño pero matón 
64;Premios Razzie ; Peor actor: ;2002; Rob Schneider ; Deuce Bigalow: Gigoló europeo 
65;Premios Razzie ; Peor actor: ;2001; George W. Bush ; Fahrenheit 9/11 
66;Premios Razzie ; Peor actor: ;2000; Ben Affleck ; Paycheck 
67;Premios Razzie ; Peor actor: ;1999; Ben Affleck ; Una relación peligrosa (Gigli) 
68;Premios Razzie ; Peor actor: ;1998; Ben Affleck ; Daredevil 
69;Premios Razzie ; Peor actor: ;1997; Roberto Benigni, Breckin Meyer ; Pinocho 
70;Premios Razzie ; Peor actor: ;1996; Tom Green ; Freddy el colgao 
71;Premios Razzie ; Peor actor: ;1995; John Travolta ; Combinación ganadora 
72;Premios Razzie ; Peor actor: ;1994; John Travolta ; Campo de batalla: La Tierra 
73;Premios Razzie ; Peor actor: ;1993; Adam Sandler ; Un papá genial 
74;Premios Razzie ; Peor actor: ;1992; Bruce Willis ; Estado de sitio 
75;Premios Razzie ; Peor actor: ;1991; Bruce Willis ; Mercury Rising (Al rojo vivo) 
76;Premios Razzie ; Peor actor: ;1990; Bruce Willis ; Armageddon 
77;Premios Razzie ; Peor actor: ;1989; Kevin Costner ; Mensajero del futuro 
78;Premios Razzie ; Peor actor: ;1988; Pauly Shore ; Bio-Dome 
79;Premios Razzie ; Peor actor: ;1987; Tom Arnold ; La familia Stupid 
80;Premios Razzie ; Peor actor: ;1986; Tom Arnold ; Carpool, todos al coche 
81;Premios Razzie ; Peor actor: ;1985; Tom Arnold ; Mi querido enemigo 
82;Premios Razzie ; Peor actor: ;1984; Pauly Shore ; ¿Y dónde está el jurado? 
83;Premios Razzie ; Peor actor: ;1983; Kevin Costner ; Wyatt Earp 
84;Premios Razzie ; Peor actor: ;1982; Burt Reynolds ; Un policía y pico 
85;Premios Razzie ; Peor actor: ;1981; Sylvester Stallone ; ¡Alto! o mi madre dispara 
86;Premios Razzie ; Peor actriz: ;2023; Los Razzies por su error nominando en la categoría ; Lady Di: El musical 
87;Premios Razzie ; Peor actriz: ;2022; Jeanna de Waal ; Music 
88;Premios Razzie ; Peor actriz: ;2021; Kate Hudson ; The Haunting of Sharon Tate 
89;Premios Razzie ; Peor actriz: ;2020; Hilary Duff ; El alma de la fiesta 
90;Premios Razzie ; Peor actriz: ;2019; Melissa McCarthy ; ¿Quién está matando a los moñecos? 
