tags,num_tag
0,11-S,111
1,3-D,815
2,Abusos sexuales,653
3,Acoso escolar / Bullying,266
4,Adolescencia,3893
5,Adopción,311
6,África,903
7,Ajedrez,112
8,Alcoholismo,350
9,Alpinismo / Escalada,209
10,Alzheimer,137
11,América colonial,63
12,Amish,28
13,Amistad,2818
14,Animación para adultos,1105
15,Animales,2654
16,Antigua Grecia,147
17,Antigua Roma,304
18,Antiguo Egipto,166
19,Años 1900,circa
20,Años 1910-1919,453
21,Años 20,656
22,Años 30,1009
23,Años 40,1020
24,Años 50,877
25,Años 60,1038
26,Años 70,1123
27,Años 80,1008
28,Años 90,590
29,Arañas,63
30,Arquitectura,249
31,Artes marciales,1777
32,Asedio de Waco,10
33,Asesinos en serie,1336
34,Atletismo,143
35,Autismo / Asperger,139
36,Aventura espacial,940
37,Aventura gráfica,439
38,Aventuras marinas,501
39,Aves / Pájaros,353
40,Aviones,574
41,Baile,873
42,Ballet,222
43,Baloncesto,360
44,Balonmano,11
45,Bandas/pandillas callejeras,208
46,Basada en una película,34
47,Basada en una serie,86
48,Basado en hechos reales,3681
49,Béisbol,299
50,Biblia,281
51,Billar,31
52,Biográfico,7198
53,Blaxploitation,117
54,Bodas,547
55,Bolos,21
56,Bolsa & Negocios,138
57,Bomberos,130
58,Boxeo,700
59,Brujería,536
60,Bucles temporales,94
61,Buddy Film,207
62,Caballos,421
63,Capa y espada,258
64,Casas encantadas,514
65,Catástrofes,613
66,Caza,184
67,Celos,468
68,Ciclismo,206
69,Cine dentro del cine,1514
70,Cine épico,230
71,Cine experimental,7171
72,Cine familiar,2535
73,Cine independiente USA,3283
74,Cinema novo brasileño,22
75,Cinematic Platformer,114
76,Cine mudo,7540
77,Cine quinqui,58
78,Circo,376
79,Claymation,Plastilina
80,Coches/Automovilismo,673
81,Cocina,562
82,Cocodrilos,90
83,Colegios & Universidad,2223
84,Colonialismo,278
85,Comedia absurda,539
86,Comedia de terror,1693
87,Comedia dramática,2250
88,Comedia juvenil,553
89,Comedia negra,2088
90,Comedia romántica,3507
91,Comedia screwball,101
92,Comedia sofisticada,50
93,Cómic,1749
94,Conciertos,1179
95,Conflicto árabe-israelí,229
96,Conflicto Rusia-Ucrania,37
97,Conquista de América,59
98,Coronavirus,COVID-19
99,Cortometraje,40378
100,Cortometraje,animación
101,Corto publicitario,1051
102,Cricket,36
103,Crimen,14643
104,Crisis económica 2008,226
105,CrossFit,11
106,Cuentos,744
107,Cyberpunk,339
108,DC Comics,485
109,Delfines,48
110,Deporte,2572
111,Día de Acción de Gracias,48
112,Dictadura argentina,206
113,Dictadura chilena,134
114,Dictadura República Dominicana,11
115,Dictadura uruguaya,22
116,Dinosaurios,328
117,Discapacidad,1008
118,Discapacidad auditiva,165
119,Discapacidad visual,270
120,Distopía,536
121,Divulgativo/Educativo,459
122,Doctor Who,226
123,Documental científico,309
124,Documental deportivo,1503
125,Documental marino,147
126,Documental sobre cine,2826
127,Documental sobre Historia,1136
128,Documental sobre música,3770
129,Documental sobre videojuegos,184
130,Dogma,31
131,Dragon Ball,66
132,Dragones,188
133,Drama carcelario,644
134,Drama de época,479
135,Drama judicial / Abogados/as,647
136,Drama psicológico,887
137,Drama romántico,2714
138,Drama social,924
139,Drama sureño,139
140,Drogas,1457
141,Edad Media,478
142,Ejército,752
143,Enfermedad,1735
144,Enseñanza,438
145,Entrevista,68
146,Episodio de TV,1679
147,Erótico,2653
148,Esclavitud,166
149,Esgrima,24
150,Espada y brujería,272
151,Espionaje,1340
152,eSports,40
153,Esquí,108
154,ETA,92
155,Eurovision,60
156,Expresionismo alemán,59
157,Extraterrestres,1670
158,Falso documental,742
159,Falso tráiler,37
160,Familia,6617
161,Fan Film,662
162,Fantasía medieval,285
163,Fantasmas,1129
164,Fashion Film,120
165,Feminismo,452
166,Fin del mundo,122
167,Flamenco,105
168,Fotografía,388
169,Free Cinema,42
170,Fútbol,1190
171,Fútbol americano,237
172,Futuro postapocalíptico,738
173,Gatos,753
174,Giallo,243
175,Gimnasia,56
176,Golf,77
177,Gore,980
178,Gran Depresión,109
179,Guerra Chino-Japonesa,II
180,Guerra Civil Camboyana,18
181,Guerra Civil de El Salvador,17
182,Guerra Civil Española,380
183,Guerra de Afganistán,80
184,Guerra de Afganistán-URSS,20
185,Guerra de Bosnia,58
186,Guerra de Corea,123
187,Guerra de Cuba,17
188,Guerra de Independencia Americana,30
189,Guerra de Independencia de Argelia,20
190,Guerra de Iraq,107
191,Guerra de la Independencia Española,23
192,Guerra de las Malvinas,85
193,Guerra del Golfo,32
194,Guerra de Líbano,32
195,Guerra de los Balcanes,96
196,Guerra de Secesión,123
197,Guerra de Siria,46
198,Guerra de Vietnam,213
199,Guerra Fría,272
200,Guerras Napoleónicas,73
201,Halloween,278
202,Hip Hop,352
203,Hípica,58
204,Historia de Indonesia,12
205,Historias cruzadas,593
206,Histórico,3009
207,Hockey sobre hielo,79
208,Holocausto,344
209,Holocausto nuclear,136
210,Hombres lobo,273
211,Homosexualidad,3792
212,I Guerra Mundial,550
213,II Guerra Mundial,2856
214,Infancia,1847
215,Inmigración,1350
216,Insectos,322
217,Inteligencia artificial,61
218,Internet / Informática,845
219,IRA,56
220,James Bond,82
221,Japón feudal,622
222,Jazz,214
223,J-Horror,262
224,Juana de Arco,6
225,Judo,22
226,Juego,351
227,Juegos olímpicos,199
228,Karate,56
229,Krimi,75
230,Lego,139
231,Literatura,639
232,Live-Action,526
233,Looney Tunes,793
234,Los Simpson,112
235,Mafia,1120
236,Magia,913
237,Manga,3566
238,Marionetas,378
239,Marvel Comics,393
240,Matemáticas,119
241,Maternidad,279
242,MCU,93
243,Medicina,809
244,Mediometraje,13584
245,Melodrama,1587
246,Metraje encontrado,357
247,Mickey Mouse,291
248,Miniserie de TV,4975
249,Mitología,346
250,Mockbuster,175
251,Moda,357
252,Monstruos,1588
253,Motion Comic,63
254,Motos,236
255,Mumblecore,70
256,Mundo virtual,86
257,Muñecos,168
258,Música,2871
259,Natación,120
260,Naturaleza,1681
261,Navidad,2075
262,Nazismo,985
263,Neo-noir,382
264,Neorrealismo,57
265,Ninjas,290
266,Nochevieja / Año nuevo,96
267,Nouvelle vague,81
268,Nueva Ola Checoslovaca,77
269,Ópera,238
270,Orcas / Ballenas,44
271,Orígenes del cine,2126
272,Osos,292
273,Paint-on-glass,60
274,Pandemias,290
275,Pantera rosa,173
276,Parodia,1449
277,Patinaje sobre hielo,67
278,Patinaje sobre ruedas,38
279,Pato Donald,191
280,Payasos,176
281,Pearl Harbor,28
282,Película de culto,660
283,Película de episodios,1562
284,Película interactiva,473
285,Película Mondo,47
286,Periodismo,673
287,Perros/Lobos,1208
288,Pesca,264
289,Ping-pong,26
290,Pintura,804
291,Piratas,368
292,Pixar,159
293,Pixel Art,279
294,Pobreza,858
295,Pokémon,154
296,Póker,62
297,Polar francés,16
298,Policíaco,2711
299,Política,2477
300,Posesiones / Exorcismos,344
301,Posguerra española,93
302,Precuela,371
303,Preescolar,187
304,Prehistoria,205
305,Propaganda,437
306,Prostitución,1063
307,Racismo,795
308,Radio,207
309,Realismo mágico,132
310,Realismo poético francés,36
311,Reboot,58
312,Redes sociales,272
313,Religión,1975
314,Remake,2960
315,Revolución Cubana,87
316,Revolución cultural china,29
317,Revolución Francesa,87
318,Revolución Mexicana,120
319,Revolución Rusa,123
320,Revolución Sandinista,20
321,Road Movie,1089
322,Robos & Atracos,1280
323,Robots,1374
324,Roedores,481
325,Rugby,65
326,RV / VR,85
327,Samuráis,580
328,Sátira,1081
329,Sectas,263
330,Secuela,7243
331,Secuestros / Desapariciones,1841
332,Serie [Alfred Hitchcock presenta],198
333,Serie B,1772
334,Serie [Colombo],70
335,Serie de antología,331
336,Serie [What a Cartoon!],49
337,Serpientes,90
338,Sexualidad y pornografía,233
339,Sherlock Holmes,178
340,SIDA,235
341,Siglo IX,23
342,Siglo VII,27
343,Siglo VIII,23
344,Siglo X,31
345,Siglo XI,46
346,Siglo XII,61
347,Siglo XIII,114
348,Siglo XIV,90
349,Siglo XIX,2387
350,Siglo XV,202
351,Siglo XVI,380
352,Siglo XVII,412
353,Siglo XVIII,595
354,Silly Symphony,75
355,Simios,218
356,Síndrome de Down,65
357,Sitcom,828
358,Sitcom familiar,267
359,Skateboarding,107
360,Sketches,431
361,Slasher,788
362,Sobrenatural,2721
363,Spaghetti Western,488
364,Spin-off,1039
365,Stand-Up,878
366,Star Trek,77
367,Star Wars,351
368,Steampunk,156
369,Stop Motion,1466
370,Submarinismo / buceo,69
371,Submarinos,166
372,Superhéroes,1644
373,Supervivencia,554
374,Surf,174
375,Surrealismo,1088
376,Survival Horror,334
377,Teatro,1160
378,Telefilm,15469
379,Telenovela,1932
380,Televisión,426
381,Tenis,111
382,Terremotos,102
383,Terrorismo,833
384,Thriller futurista,128
385,Thriller psicológico,806
386,Tiburones,214
387,Titanic,57
388,Tom y Jerry,190
389,Toros,169
390,Trabajo/empleo,964
391,Transexualidad / transgénero,533
392,Trenes / Metros,525
393,True Crime,289
394,Vampiros,1073
395,Vejez / Madurez,1084
396,Vela,20
397,Venganza,1418
398,Viajes en el tiempo,904
399,Vida rural,1637
400,Vida rural,Norteamérica
401,Videoclip,10167
402,Videojuego,1524
403,Videojuego narrativo,1897
404,Vikingos,97
405,Volcanes,108
406,Vudú,96
407,Webserie / Serie Online,670
408,Western futurista,51
409,Wrestling/Lucha libre,279
410,Wuxia,143
411,Yakuza & Triada,642
412,Young Adult,89
413,Zombis,1168
414,Zonas frías/polares,233
