id;festival;categoria;año;interpretacion;pelicula;director
68;Festival de Cannes ; Mejor actor: ;2023; Song Kang-ho ; Broker ; Hirokazu Koreeda
69;Festival de Cannes ; Mejor actor: ;2022; Caleb Landry Jones ; Nitram ; Lee Ji-Eun
70;Festival de Cannes ; Mejor actor: ;2021; Antonio Banderas ; Dolor y gloria ; Justin Kurzel
71;Festival de Cannes ; Mejor actor: ;2020; Marcello Fonte ; Dogman ; Caleb Landry Jones
72;Festival de Cannes ; Mejor actor: ;2019; Joaquin Phoenix ; En realidad, nunca estuviste aquí ; Pedro Almodóvar
73;Festival de Cannes ; Mejor actor: ;2018; Shahab Hosseini ; El viajante ; Antonio Banderas
74;Festival de Cannes ; Mejor actor: ;2017; Vincent Lindon ; La ley del mercado ; Matteo Garrone
75;Festival de Cannes ; Mejor actor: ;2016; Timothy Spall ; Mr. Turner ; Marcello Fonte
76;Festival de Cannes ; Mejor actor: ;2015; Bruce Dern ; Nebraska ; Lynne Ramsay
77;Festival de Cannes ; Mejor actor: ;2014; Mads Mikkelsen ; La caza ; Joaquin Phoenix
78;Festival de Cannes ; Mejor actor: ;2013; Jean Dujardin ; The Artist ; Asghar Farhadi
79;Festival de Cannes ; Mejor actor: ;2012; Elio Germano ; La nostra vita ; Shahab Hosseini
80;Festival de Cannes ; Mejor actor: ;2011; Javier Bardem ; Biutiful ; Stéphane Brizé
81;Festival de Cannes ; Mejor actor: ;2010; Christoph Waltz ; Malditos bastardos ; Vincent Lindon
82;Festival de Cannes ; Mejor actor: ;2009; Benicio del Toro ; Che: Guerrilla ; Mike Leigh
83;Festival de Cannes ; Mejor actor: ;2008; Benicio del Toro ; Che: El argentino ; Timothy Spall
84;Festival de Cannes ; Mejor actor: ;2007; Konstantin Lavronenko ; El destierro ; Alexander Payne
85;Festival de Cannes ; Mejor actor: ;2006; Jamel Debbouze, Samy Naceri, Sami Bouajila, Roschdy Zem, Bernard Blancan ; Indigènes ; Bruce Dern
86;Festival de Cannes ; Mejor actor: ;2005; Tommy Lee Jones ; Los tres entierros de Melquíades Estrada ; Thomas Vinterberg
87;Festival de Cannes ; Mejor actor: ;2004; Yûya Yagira ; Nadie sabe ; Mads Mikkelsen
88;Festival de Cannes ; Mejor actor: ;2003; Emin Toprak, Muzaffer Özdemir ; Lejano ; Michel Hazanavicius
89;Festival de Cannes ; Mejor actor: ;2002; Olivier Gourmet ; El hijo ; Jean Dujardin
90;Festival de Cannes ; Mejor actor: ;2001; Benoît Magimel ; La pianista ; Daniele Luchetti
91;Festival de Cannes ; Mejor actor: ;2000; Tony Leung Chiu-Wai ; Deseando amar ; Elio Germano
92;Festival de Cannes ; Mejor actor: ;1999; Emmanuel Schotté ; La humanidad ; Alejandro González Iñárritu
93;Festival de Cannes ; Mejor actor: ;1998; Peter Mullan ; Mi nombre es Joe ; Javier Bardem
94;Festival de Cannes ; Mejor actor: ;1997; Sean Penn ; Atrapada entre dos hombres ; Quentin Tarantino
95;Festival de Cannes ; Mejor actor: ;1996; Pascal Duquenne, Daniel Auteuil ; El octavo día ; Brad Pitt
96;Festival de Cannes ; Mejor actor: ;1995; Jonathan Pryce ; Carrington ; Steven Soderbergh
97;Festival de Cannes ; Mejor actor: ;1994; Ge You ; ¡Vivir! ; Benicio del Toro
98;Festival de Cannes ; Mejor actor: ;1993; David Thewlis ; Indefenso (Naked) ; Steven Soderbergh
99;Festival de Cannes ; Mejor actor: ;1992; Tim Robbins ; El juego de Hollywood ; Benicio del Toro
100;Festival de Cannes ; Mejor actor: ;1991; John Turturro ; Barton Fink ; Andrey Zvyagintsev
101;Festival de Cannes ; Mejor actor: ;1990; Gérard Depardieu ; Cyrano de Bergerac ; Konstantin Lavronenko
102;Festival de Cannes ; Mejor actor: ;1989; James Spader ; Sexo, mentiras y cintas de video ; Rachid Bouchareb
103;Festival de Cannes ; Mejor actor: ;1988; Forest Whitaker ; Bird ; Jamel Debbouze
104;Festival de Cannes ; Mejor actor: ;1987; Marcello Mastroianni ; Ojos negros ; Tommy Lee Jones
105;Festival de Cannes ; Mejor actor: ;1986; Michel Blanc ; Traje de etiqueta ; Tommy Lee Jones
106;Festival de Cannes ; Mejor actor: ;1985; Bob Hoskins ; Mona Lisa ; Hirokazu Koreeda
107;Festival de Cannes ; Mejor actor: ;1984; William Hurt ; El beso de la mujer araña ; Yûya Yagira
108;Festival de Cannes ; Mejor actor: ;1983; Francisco Rabal, Alfredo Landa ; Los santos inocentes ; Nuri Bilge Ceylan
109;Festival de Cannes ; Mejor actor: ;1982; Gian Maria Volonté ; La muerte de Mario Ricci ; Muzaffer Özdemir
110;Festival de Cannes ; Mejor actor: ;1981; Jack Lemmon ; Missing (Desaparecido) ; Jean-Pierre Dardenne
111;Festival de Cannes ; Mejor actor: ;1980; Ugo Tognazzi ; La historia de un hombre ridículo ; Olivier Gourmet
112;Festival de Cannes ; Mejor actor: ;1979; Michel Piccoli ; Salto al vacío ; Michael Haneke
113;Festival de Cannes ; Mejor actor: ;1978; Jack Lemmon ; El síndrome de China ; Isabelle Huppert
114;Festival de Cannes ; Mejor actor: ;1977; Jon Voight ; El regreso ; Wong Kar-Wai
115;Festival de Cannes ; Mejor actor: ;1976; Fernando Rey ; Elisa, vida mía ; Tony Leung Chiu-Wai
116;Festival de Cannes ; Mejor actor: ;1975; José Luis Gómez ; Pascual Duarte ; Bruno Dumont
117;Festival de Cannes ; Mejor actor: ;1974; Vittorio Gassman ; Perfume de mujer ; Emmanuel Schotté
118;Festival de Cannes ; Mejor actor: ;1973; Jack Nicholson ; El último deber ; Ken Loach
119;Festival de Cannes ; Mejor actor: ;1972; Charles Boyer ; Stavisky ; Peter Mullan
120;Festival de Cannes ; Mejor actor: ;1971; Giancarlo Giannini ; Amor y anarquía ; Nick Cassavetes
121;Festival de Cannes ; Mejor actor: ;1970; Jean Yanne ; Nosotros no envejeceremos juntos ; Sean Penn
