iter	RMSE
0	1.087331448
1	1.044101571
2	1.006489413
3	0.9730508053
4	0.9451477707
5	0.9170595615
6	0.8939438719
7	0.8744649814
8	0.8567042632
9	0.8415532006
10	0.8284010802
11	0.8158552972
12	0.8055158018
13	0.7963666317
14	0.788518248
15	0.781042981
16	0.7745499787
17	0.7695785501
18	0.765093977
19	0.7606627947
20	0.7558682864
21	0.7529123055
22	0.7492200958
23	0.7470889813
24	0.7445454718
25	0.7417090921
26	0.7399244981
27	0.7381053351
28	0.7357648309
29	0.7337448976
30	0.7320495244
31	0.7304179575
32	0.7292660809
33	0.7280091554
34	0.7260067605
35	0.7246925485
36	0.7236735576
37	0.7227758974
38	0.7216247396
39	0.7200765982
40	0.7195294716
41	0.7190173576
42	0.7185202265
43	0.717516061
44	0.7161188538
45	0.7150903595
46	0.7147795632
47	0.7142259786
48	0.713582245
49	0.7133197965
50	0.7127798849
51	0.7116246945
52	0.7108868196
53	0.7104900223
54	0.7101368388
55	0.7090711036
56	0.7080798476
57	0.7070041038
58	0.7069688482
59	0.7063216866
60	0.705678977
61	0.7049377641
62	0.7037435801
63	0.7034876697
64	0.7032775114
65	0.7029558893
66	0.7023708603
67	0.700977187
68	0.6999672345
69	0.6997188243
70	0.6988949382
71	0.6980346781
72	0.6971298643
73	0.6965515171
74	0.6962838175
75	0.6960182982
76	0.695948738
77	0.6956074571
78	0.6948189738
79	0.6943114001
80	0.6930099752
81	0.6923319109
82	0.6918669714
83	0.6915591352
84	0.6907793011
85	0.6905712628
86	0.6901551409
87	0.6898186266
88	0.688669492
89	0.68795382
90	0.6872377743
91	0.6863924346
92	0.6857792531
93	0.6854411369
94	0.6841757063
95	0.6826805615
96	0.6814596095
97	0.6805349223
98	0.6790196799
99	0.6780974981
100	0.6774472831
101	0.6770124898
102	0.6761410444
103	0.6755847256
104	0.6750779532
105	0.6744055024
106	0.6735043486
107	0.6723057023
108	0.6714099355
109	0.6704757769
110	0.669778481
111	0.6688320635
112	0.6677069895
113	0.666633619
114	0.6655576155
115	0.6649128523
116	0.6639682036
117	0.6635056276
118	0.662874602
119	0.6618330438
120	0.6610281094
121	0.6602036121
122	0.6595210895
123	0.6585172234
124	0.6581857638
125	0.6571830015
126	0.6566351179
127	0.6558769989
128	0.6544130602
129	0.6537782538
130	0.6533174781
131	0.6525211467
132	0.6521584493
133	0.6513871816
134	0.6508757772
135	0.6500343566
136	0.6488732022
137	0.6480764921
138	0.6476787725
139	0.6470510273
140	0.6462544038
141	0.6457991181
142	0.6452496763
143	0.6444918789
144	0.643891439
145	0.643355421
146	0.6423510202
147	0.6415641444
148	0.6409186204
149	0.6402089403
150	0.6394250957
151	0.6388632198
152	0.6382286359
153	0.6377964351
154	0.637113639
155	0.6364485583
156	0.6357702793
157	0.6353922872
158	0.6350245606
159	0.6342581391
160	0.6333897856
161	0.6330038354
162	0.6324072133
163	0.6315588536
164	0.6314138732
165	0.6307419608
166	0.6302876929
167	0.6298497327
168	0.629212504
169	0.628924819
170	0.628260441
171	0.6277349907
172	0.6271962821
173	0.626497235
174	0.6260053152
175	0.6258900514
176	0.625378211
177	0.6246320294
178	0.6240903985
179	0.6239635164
180	0.6238855468
181	0.6233459672
182	0.6226024885
183	0.6218600132
184	0.6212468767
185	0.6202668294
186	0.62016877
187	0.6190940948
188	0.6186008393
189	0.6183428456
190	0.617816038
191	0.6168646084
192	0.6163863016
193	0.6157195455
194	0.6156148771
195	0.6152148234
196	0.6147382709
197	0.6142126184
198	0.6134873062
199	0.6131237636
200	0.6124067782
201	0.6118153282
202	0.6116282788
203	0.6110083342
204	0.6105750849
205	0.6101739851
206	0.609577435
207	0.6090219738
208	0.6086420234
209	0.6081618667
210	0.6074286356
211	0.6070001686
212	0.6063607405
213	0.6058301975
214	0.6053287173
215	0.6049386297
216	0.6047304697
217	0.603564363
218	0.6032712871
219	0.603128225
220	0.6024744449
221	0.6020901614
222	0.6018762433
223	0.6016958055
224	0.601198818
225	0.6008431769
226	0.6003566293
227	0.59971319
228	0.5992685047
229	0.5991316444
230	0.5987862822
231	0.5984645141
232	0.5975526151
233	0.5974345822
234	0.5970914312
235	0.5964703925
236	0.5958330991
237	0.5955057388
238	0.5951254914
239	0.5949965744
240	0.5947507488
241	0.5940756464
242	0.5935268135
243	0.5929749897
244	0.5927395777
245	0.5925347994
246	0.5919605776
247	0.5915812524
248	0.5910656944
249	0.590604018
250	0.5903334427
251	0.5893508484
252	0.5890619623
253	0.5887315189
254	0.5882424382
255	0.5875505128
256	0.5871865813
257	0.5861431542
258	0.5856173778
259	0.5852768185
260	0.5849336814
261	0.5841325121
262	0.5836729601
263	0.5834546207
264	0.5832084806
265	0.5826863382
266	0.5821886785
267	0.581651262
268	0.581149862
269	0.5804241503
270	0.5802522149
271	0.5795249647
272	0.5789740722
273	0.578669038
274	0.578158568
275	0.5774895826
276	0.5767892537
277	0.5764344635
278	0.5760325858
279	0.5753733899
280	0.5750985728
281	0.5746263393
282	0.5740579998
283	0.5736352013
284	0.5733557127
285	0.5730436728
286	0.5726133629
287	0.5722077694
288	0.5718179355
289	0.5713890255
290	0.570951325
291	0.5704846236
292	0.570148922
293	0.5699515272
294	0.5696894792
295	0.5694083
296	0.5689830953
297	0.5687323695
298	0.5683084569
299	0.5680879607
