iter	Passed	Remaining
0	4	1218
1	7	1171
2	11	1160
3	15	1147
4	19	1147
5	23	1132
6	27	1137
7	30	1119
8	34	1106
9	37	1094
10	41	1092
11	45	1087
12	48	1079
13	52	1076
14	56	1082
15	60	1073
16	64	1065
17	67	1055
18	71	1050
19	74	1048
20	78	1042
21	81	1035
22	85	1030
23	89	1025
24	92	1020
25	96	1015
26	99	1010
27	103	1007
28	107	1007
29	111	1001
30	115	999
31	118	993
32	122	989
33	125	983
34	129	978
35	132	975
36	136	970
37	140	967
38	143	962
39	147	958
40	150	952
41	154	950
42	158	945
43	161	940
44	165	936
45	168	932
46	171	923
47	174	917
48	178	912
49	181	906
50	184	901
51	188	899
52	192	895
53	195	890
54	198	884
55	202	882
56	206	879
57	209	875
58	211	865
59	215	861
60	219	858
61	222	854
62	226	850
63	229	845
64	232	841
65	236	838
66	240	836
67	244	832
68	247	828
69	251	827
70	255	823
71	258	818
72	261	814
73	265	812
74	269	807
75	272	803
76	274	794
77	277	790
78	281	787
79	284	783
80	288	779
81	291	775
82	295	772
83	299	768
84	302	765
85	306	761
86	309	758
87	313	756
88	317	752
89	320	748
90	324	744
91	327	741
92	331	738
93	335	734
94	338	730
95	342	726
96	346	724
97	349	720
98	353	717
99	356	713
100	360	709
101	363	706
102	367	702
103	370	698
104	374	695
105	378	692
106	382	689
107	385	685
108	389	682
109	393	679
110	397	676
111	400	672
112	404	669
113	407	665
114	411	662
115	415	659
116	419	656
117	423	653
118	427	650
119	431	647
120	435	643
121	438	640
122	442	636
123	446	633
124	450	630
125	453	626
126	456	622
127	460	619
128	464	615
129	468	612
130	471	608
131	475	605
132	479	602
133	483	599
134	487	596
135	492	594
136	496	591
137	500	587
138	504	583
139	507	580
140	511	577
141	515	573
142	519	570
143	523	567
144	527	563
145	530	560
146	534	556
147	538	552
148	542	549
149	545	545
150	549	541
151	552	537
152	556	534
153	560	531
154	563	527
155	567	523
156	571	520
157	575	517
158	578	513
159	582	509
160	586	506
161	590	502
162	593	499
163	597	495
164	601	492
165	607	490
166	611	486
167	615	483
168	620	481
169	625	478
170	631	476
171	637	474
172	641	471
173	646	468
174	651	465
175	655	462
176	660	458
177	664	455
178	670	452
179	674	449
180	678	445
181	682	442
182	687	439
183	691	436
184	696	433
185	703	431
186	707	427
187	712	424
188	719	422
189	726	420
190	733	418
191	738	415
192	743	412
193	750	410
194	754	406
195	760	403
196	765	400
197	770	396
198	775	393
199	780	390
200	787	387
201	792	384
202	800	382
203	805	378
204	810	375
205	816	372
206	820	368
207	826	365
208	832	362
209	836	358
210	840	354
211	844	350
212	848	346
213	851	342
214	855	338
215	859	334
216	863	330
217	867	326
218	870	321
219	874	317
220	878	313
221	882	309
222	886	305
223	889	301
224	893	297
225	897	293
226	901	289
227	904	285
228	908	281
229	912	277
230	916	273
231	919	269
232	923	265
233	927	261
234	931	257
235	935	253
236	939	249
237	943	245
238	947	241
239	950	237
240	954	233
241	958	229
242	962	225
243	966	221
244	970	217
245	975	214
246	978	210
247	982	206
248	986	202
249	990	198
250	994	194
251	998	190
252	1002	186
253	1007	182
254	1011	178
255	1015	174
256	1019	170
257	1024	166
258	1028	162
259	1032	158
260	1037	154
261	1041	150
262	1044	146
263	1048	142
264	1052	138
265	1055	134
266	1059	130
267	1062	126
268	1065	122
269	1069	118
270	1073	114
271	1076	110
272	1080	106
273	1083	102
274	1087	98
275	1091	94
276	1094	90
277	1098	86
278	1101	82
279	1105	78
280	1109	74
281	1112	71
282	1116	67
283	1120	63
284	1123	59
285	1127	55
286	1130	51
287	1134	47
288	1138	43
289	1142	39
290	1146	35
291	1150	31
292	1153	27
293	1157	23
294	1160	19
295	1164	15
296	1167	11
297	1171	7
298	1174	3
299	1178	0
