iter	RMSE
0	1.081184315
1	1.034976596
2	1.003038802
3	0.9696774366
4	0.9402007719
5	0.914703342
6	0.8940376832
7	0.8769928886
8	0.8629201652
9	0.8516319162
10	0.8421037621
11	0.8334818578
12	0.8257349548
13	0.81950524
14	0.8148007959
15	0.81119469
16	0.807385288
17	0.8035745917
18	0.800922251
19	0.7987928147
20	0.7974463835
21	0.795765116
22	0.7944210958
23	0.7932110178
24	0.7921569448
25	0.7912060017
26	0.7903267626
27	0.7893166404
28	0.7888013171
29	0.7883122639
30	0.7872351222
31	0.7869439453
32	0.7859790133
33	0.7856294045
34	0.7853565309
35	0.7851258047
36	0.784733891
37	0.7846244076
38	0.784044885
39	0.7838256646
40	0.7836412753
41	0.7831210795
42	0.7827711002
43	0.7825004327
44	0.7821436192
45	0.7821340156
46	0.7819508449
47	0.7815979957
48	0.7815602753
49	0.7813352299
50	0.7812837279
51	0.7812570896
52	0.7810641815
53	0.7809128553
54	0.780509706
55	0.7803309437
56	0.7802096025
57	0.7801960746
58	0.7801848593
59	0.7801743222
60	0.7801055145
61	0.7800848001
62	0.7798950879
63	0.7797846352
64	0.7795279951
65	0.7792712916
66	0.7791619387
67	0.7788506366
68	0.7788177165
69	0.7785063648
70	0.7785015535
71	0.7784679552
72	0.7784640975
73	0.7782790096
74	0.7782491801
75	0.7779644822
76	0.7778609402
77	0.7778056899
78	0.7777528615
79	0.7775741863
80	0.7772227033
81	0.7772195479
82	0.7767481544
83	0.7765422531
84	0.7761505228
85	0.7761493783
86	0.7759932893
87	0.7757043471
88	0.7754418346
89	0.7753295081
90	0.7752966413
91	0.775199515
92	0.7749949981
93	0.7747326853
94	0.7746086503
95	0.7744835766
96	0.7744098172
97	0.7739372346
98	0.7735805429
99	0.7735047704
100	0.7733802013
101	0.773154294
102	0.7731341895
103	0.7730122038
104	0.7728774998
105	0.7727790883
106	0.7726571001
107	0.7725845067
108	0.7724572316
109	0.7721158279
110	0.7717817089
111	0.7715463864
112	0.7712768819
113	0.7711983175
114	0.7709698578
115	0.7707249587
116	0.7706965864
117	0.7706289302
118	0.7705736068
119	0.7704611337
120	0.7701596295
121	0.7700247743
122	0.7699532917
123	0.7697297376
124	0.7695157179
125	0.7694355462
126	0.7693277075
127	0.7692900496
128	0.7690537464
129	0.7688324113
130	0.768696213
131	0.7685359884
132	0.7684892464
133	0.7683910516
134	0.7682246783
135	0.7681972923
136	0.7681394335
137	0.7680674763
138	0.7679976297
139	0.767948506
140	0.7678076355
141	0.7677460511
142	0.7676976497
143	0.767563925
144	0.7674496808
145	0.767428729
146	0.7673079982
147	0.7672641137
148	0.7672021211
149	0.7671180035
150	0.7670163771
151	0.76691403
152	0.766774092
153	0.7667319509
154	0.7667192447
155	0.7666165858
156	0.7665159182
157	0.7664761876
158	0.7663564259
159	0.7663208291
160	0.7662209294
161	0.7662082157
162	0.7661343701
163	0.766018244
164	0.7659229909
165	0.7658985275
166	0.7657996423
167	0.7656267386
168	0.7656127388
169	0.7655462793
170	0.7653950908
171	0.7653716825
172	0.7653316762
173	0.7652587496
174	0.76520286
175	0.7650680332
176	0.7649781435
177	0.7648786828
178	0.7648609421
179	0.7648039245
180	0.7647589516
181	0.7647192733
182	0.7647074242
183	0.7645959493
184	0.7645237991
185	0.7644353525
186	0.7643702178
187	0.7643058915
188	0.7641974981
189	0.7641638551
190	0.7640883585
191	0.7640524509
192	0.763991684
193	0.76388819
194	0.7637977292
195	0.7637177366
196	0.763687357
197	0.7636431713
198	0.7636329784
199	0.7636047537
200	0.7635725623
201	0.7635118801
202	0.7634265812
203	0.7633823952
204	0.7632748154
205	0.7632634487
206	0.7632285111
207	0.7631497342
208	0.7631263521
209	0.7630857463
210	0.7630383797
211	0.7629406275
212	0.7628989573
213	0.7628904649
214	0.7628859018
215	0.7628223587
216	0.7628035188
217	0.7627383597
218	0.7627290944
219	0.7627095241
220	0.7626727405
221	0.7626147696
222	0.7626052297
223	0.7625430296
224	0.7625386054
225	0.7624108956
226	0.7622742012
227	0.7622516341
228	0.7621897638
229	0.7621625354
230	0.7621340667
231	0.7620591986
232	0.7620437969
233	0.7620238945
234	0.7620038642
235	0.7619317481
236	0.7619147715
237	0.761903473
238	0.7618611539
239	0.7617925588
240	0.7617618639
241	0.7617302087
242	0.7616800795
243	0.7616675207
244	0.7616645602
245	0.7616168895
246	0.761613602
247	0.761598931
248	0.7615258166
249	0.7614741114
250	0.7614582211
251	0.7614057402
252	0.7613747396
253	0.7613535953
254	0.7612705704
255	0.7612694244
256	0.7612127534
257	0.7611935199
258	0.7611822652
259	0.7609862601
260	0.7609608543
261	0.7609253788
262	0.7608665455
263	0.7608094774
264	0.7608088812
265	0.7607794277
266	0.760740946
267	0.7606704447
268	0.7605740682
269	0.7605207674
270	0.7604828735
271	0.7604484802
272	0.7604066049
273	0.7603804156
274	0.7603106326
275	0.760278217
276	0.7602276082
277	0.7601955093
278	0.7601801841
279	0.7601017922
280	0.7600873503
281	0.7600479417
282	0.7600126553
283	0.7599917714
284	0.7599305323
285	0.7598813827
286	0.7598436674
287	0.7598226545
288	0.7597929415
289	0.7597064682
290	0.7596956307
291	0.7596801576
292	0.7596431015
293	0.7595937393
294	0.7595424426
295	0.7595018061
296	0.7594255569
297	0.759373587
298	0.7593372464
299	0.7593144472
