iter	Passed	Remaining
0	3	955
1	6	963
2	8	850
3	11	868
4	14	884
5	18	898
6	21	900
7	24	882
8	27	884
9	30	879
10	33	867
11	36	869
12	39	867
13	42	865
14	45	869
15	48	854
16	51	852
17	54	851
18	57	848
19	60	848
20	63	838
21	66	837
22	69	834
23	72	832
24	75	829
25	78	827
26	81	824
27	84	822
28	87	819
29	90	816
30	94	815
31	96	808
32	99	807
33	102	804
34	105	801
35	108	795
36	111	794
37	114	786
38	117	784
39	120	780
40	123	778
41	126	777
42	129	775
43	132	772
44	135	769
45	137	757
46	139	749
47	142	749
48	144	740
49	147	738
50	150	733
51	152	725
52	155	722
53	158	721
54	161	719
55	164	716
56	166	709
57	167	699
58	169	691
59	170	683
60	173	681
61	175	675
62	179	673
63	182	671
64	185	669
65	188	667
66	191	665
67	194	663
68	196	657
69	199	655
70	200	648
71	203	643
72	204	636
73	207	635
74	210	630
75	213	628
76	216	626
77	218	622
78	220	617
79	223	615
80	226	612
81	228	606
82	231	604
83	234	602
84	237	601
85	239	594
86	241	591
87	244	588
88	247	586
89	250	583
90	252	580
91	256	579
92	259	577
93	262	575
94	265	573
95	268	571
96	271	568
97	274	566
98	277	564
99	280	561
100	284	560
101	287	558
102	290	554
103	293	552
104	296	549
105	299	547
106	302	545
107	305	543
108	309	541
109	312	539
110	315	537
111	319	535
112	322	533
113	325	531
114	328	528
115	332	526
116	335	524
117	338	521
118	341	518
119	344	516
120	347	514
121	351	512
122	354	509
123	357	507
124	360	504
125	363	501
126	366	499
127	369	496
128	372	494
129	375	491
130	379	489
131	382	486
132	385	484
133	388	481
134	391	478
135	394	476
136	398	473
137	401	471
138	405	469
139	408	467
140	411	464
141	414	461
142	417	458
143	421	456
144	424	453
145	427	450
146	430	447
147	433	444
148	436	442
149	439	439
150	442	436
151	445	434
152	448	431
153	452	428
154	455	425
155	458	422
156	461	420
157	464	417
158	467	414
159	470	411
160	473	408
161	476	405
162	479	403
163	482	400
164	486	397
165	488	394
166	492	391
167	495	389
168	498	386
169	501	383
170	504	380
171	507	377
172	510	374
173	513	372
174	517	369
175	520	366
176	523	363
177	526	360
178	529	357
179	533	355
180	536	352
181	539	349
182	542	346
183	545	344
184	549	341
185	552	338
186	555	335
187	558	332
188	561	329
189	564	327
190	567	324
191	570	321
192	574	318
193	577	315
194	580	312
195	583	309
196	586	306
197	589	303
198	592	300
199	595	297
200	598	294
201	601	291
202	604	288
203	607	285
204	610	283
205	613	280
206	616	277
207	619	274
208	622	271
209	625	268
210	629	265
211	632	262
212	635	259
213	638	256
214	641	253
215	644	250
216	647	247
217	650	244
218	653	241
219	656	238
220	659	235
221	662	232
222	665	229
223	668	226
224	671	223
225	675	221
226	678	218
227	681	215
228	685	212
229	688	209
230	692	206
231	696	204
232	699	201
233	702	198
234	706	195
235	709	192
236	713	189
237	716	186
238	719	183
239	722	180
240	726	177
241	729	174
242	732	171
243	736	169
244	739	166
245	743	163
246	746	160
247	749	157
248	752	154
249	756	151
250	759	148
251	762	145
252	765	142
253	768	139
254	771	136
255	773	133
256	777	130
257	779	126
258	783	123
259	787	121
260	790	118
261	793	115
262	796	112
263	799	109
264	801	105
265	804	102
266	807	99
267	810	96
268	813	93
269	817	90
270	821	87
271	824	84
272	827	81
273	831	78
274	834	75
275	837	72
276	841	69
277	844	66
278	847	63
279	850	60
280	853	57
281	857	54
282	860	51
283	863	48
284	866	45
285	870	42
286	873	39
287	876	36
288	879	33
289	883	30
290	886	27
291	889	24
292	892	21
293	896	18
294	899	15
295	902	12
296	906	9
297	909	6
298	912	3
299	915	0
