id;festival;categoria;año;premiado_a;pelicula;director
0;Festival de Cannes ; Gran Premio del Jurado: ;2023; Mati Diop ; Stars at Noon ; Claire Denis
1;Festival de Cannes ; Mejor dirección: ;2023; Park Chan-wook ; Decision to Leave ; Park Chan-wook
2;Festival de Cannes ; Mejor dirección: ;2022; Leos Carax ; Annette ; Tang Wei
3;Festival de Cannes ; Mejor dirección: ;2021; Jean-Pierre Dardenne, Luc Dardenne ; El joven Ahmed ; Leos Carax
4;Festival de Cannes ; Mejor dirección: ;2020; Pawel Pawlikowski ; Cold War ; Adam Driver
5;Festival de Cannes ; Mejor dirección: ;2019; Sofia Coppola ; La seducción ; Jean-Pierre Dardenne
6;Festival de Cannes ; Mejor dirección: ;2018; Cristian Mungiu ; Los exámenes ; Idir Ben Addi
7;Festival de Cannes ; Mejor dirección: ;2017; Olivier Assayas ; Personal Shopper ; Pawel Pawlikowski
8;Festival de Cannes ; Mejor dirección: ;2016; Hou Hsiao-Hsien ; La asesina ; Joanna Kulig
9;Festival de Cannes ; Mejor dirección: ;2015; Bennett Miller ; Foxcatcher ; Sofia Coppola
10;Festival de Cannes ; Mejor dirección: ;2014; Amat Escalante ; Heli ; Colin Farrell
11;Festival de Cannes ; Mejor dirección: ;2013; Carlos Reygadas ; Post Tenebras Lux ; Cristian Mungiu
12;Festival de Cannes ; Mejor dirección: ;2012; Nicolas Winding Refn ; Drive ; Adrian Titieni
13;Festival de Cannes ; Mejor dirección: ;2011; Mathieu Amalric ; Tournée ; Olivier Assayas
14;Festival de Cannes ; Mejor dirección: ;2010; Brillante Mendoza ; Kinatay ; Kristen Stewart
15;Festival de Cannes ; Mejor dirección: ;2009; Nuri Bilge Ceylan ; Tres monos ; Hou Hsiao-Hsien
16;Festival de Cannes ; Mejor dirección: ;2008; Julian Schnabel ; La escafandra y la mariposa ; Shu Qi
17;Festival de Cannes ; Mejor dirección: ;2007; Alejandro González Iñárritu ; Babel ; Bennett Miller
18;Festival de Cannes ; Mejor dirección: ;2006; Michael Haneke ; Caché (Escondido) ; Channing Tatum
19;Festival de Cannes ; Mejor dirección: ;2005; Tony Gatlif ; Exils ; Amat Escalante
20;Festival de Cannes ; Mejor dirección: ;2004; Gus Van Sant ; Elephant ; Armando Espitia
21;Festival de Cannes ; Mejor dirección: ;2003; Paul Thomas Anderson ; Embriagado de amor ; Carlos Reygadas
22;Festival de Cannes ; Mejor dirección: ;2002; Im Kwon-taek ; Ebrio de mujeres y pintura ; Adolfo Jiménez Castro
