,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
0,7.3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16
1,5.1,0,0,0,0,2,0,4,2,0,0,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
5,7.0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
6,5.6,0,0,0,1,0,0,2,0,1,1,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
7,4.4,0,0,0,0,2,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1042
9,6.1,0,0,1,0,0,0,0,1,1,2,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
11,4.1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
12,5.2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1042
13,8.1,0,0,3,8,0,0,0,5,0,0,19,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
15,4.8,0,0,0,0,0,0,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
16,7.6,6,0,2,0,0,2,8,3,12,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
17,7.5,1,0,2,0,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
18,6.5,1,0,1,0,1,0,3,0,0,0,2,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
19,4.4,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
20,3.8,0,0,0,0,0,2,4,4,2,2,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
21,6.7,1,0,1,0,1,0,0,0,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314
22,4.4,0,0,0,1,4,0,0,2,1,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
23,6.2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
24,4.2,0,0,0,0,0,0,2,2,9,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
25,6.1,0,0,1,0,1,0,0,0,3,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141
26,6.4,5,0,5,0,0,2,0,3,4,7,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
27,5.0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
28,5.2,0,0,0,0,0,0,4,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
29,4.3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
30,6.4,0,0,0,0,0,0,0,1,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,886
31,6.7,0,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,314
32,8.6,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
33,4.7,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
34,3.7,0,0,0,1,0,0,1,7,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5177
36,7.1,3,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43
37,5.0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,886
38,6.7,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21
39,5.2,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150
40,7.2,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
41,4.3,0,0,0,0,1,0,3,4,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5177
43,4.2,0,0,4,2,0,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5177
45,7.2,2,0,0,2,0,0,0,3,0,0,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314
46,7.2,0,0,1,0,4,0,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
48,6.3,0,0,0,0,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
49,6.5,2,0,2,0,0,0,7,1,1,1,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314
50,6.5,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
51,5.1,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,886
52,6.1,1,0,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,886
53,7.3,3,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
54,6.5,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
55,6.7,2,0,0,0,5,1,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
56,5.2,0,0,0,0,0,0,2,3,5,5,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
58,4.4,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
59,6.3,0,0,1,0,0,3,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
60,5.0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5177
61,7.2,3,0,3,3,1,5,4,2,0,1,6,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,886
63,5.5,0,0,0,0,0,0,0,1,2,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,717
64,5.0,0,0,0,0,0,0,0,0,0,1,15,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,886
65,6.0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
66,6.3,0,0,0,0,4,2,4,5,4,1,6,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
68,4.2,0,0,0,0,0,0,0,5,4,4,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
69,5.5,0,0,4,0,1,0,19,3,4,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
70,6.5,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
71,3.8,0,0,0,0,0,0,0,0,0,1,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
72,6.5,0,0,0,0,0,1,0,1,0,2,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174
73,7.1,0,0,0,1,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
74,6.2,0,0,0,0,0,0,6,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,886
75,6.2,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
76,4.8,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1042
77,6.0,2,0,0,1,0,0,5,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
78,6.7,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
