id;festival;categoria;año;premiado_a
0;Festival de Cannes ; Palma de Oro: Mejor película: ;2023; El triángulo de la tristeza 
1;Festival de Cannes ; Palma de Oro: Mejor película: ;2022; Titane 
2;Festival de Cannes ; Palma de Oro: Mejor película: ;2021; Parásitos 
3;Festival de Cannes ; Palma de Oro: Mejor película: ;2020; Un asunto de familia 
4;Festival de Cannes ; Palma de Oro: Mejor película: ;2019; The Square 
5;Festival de Cannes ; Palma de Oro: Mejor película: ;2018; Yo, Daniel Blake 
6;Festival de Cannes ; Palma de Oro: Mejor película: ;2017; Dheepan 
7;Festival de Cannes ; Palma de Oro: Mejor película: ;2016; Sueño de invierno (Winter Sleep) 
8;Festival de Cannes ; Palma de Oro: Mejor película: ;2015; La vida de Adèle 
9;Festival de Cannes ; Palma de Oro: Mejor película: ;2014; Amor 
10;Festival de Cannes ; Palma de Oro: Mejor película: ;2013; El árbol de la vida 
11;Festival de Cannes ; Palma de Oro: Mejor película: ;2012; Tío Boonmee recuerda sus vidas pasadas 
12;Festival de Cannes ; Palma de Oro: Mejor película: ;2011; La cinta blanca 
13;Festival de Cannes ; Palma de Oro: Mejor película: ;2010; La clase 
14;Festival de Cannes ; Palma de Oro: Mejor película: ;2009; 4 meses, 3 semanas, 2 días 
15;Festival de Cannes ; Palma de Oro: Mejor película: ;2008; El viento que agita la cebada 
16;Festival de Cannes ; Palma de Oro: Mejor película: ;2007; El niño 
17;Festival de Cannes ; Palma de Oro: Mejor película: ;2006; Fahrenheit 9/11 
18;Festival de Cannes ; Palma de Oro: Mejor película: ;2005; Elephant 
19;Festival de Cannes ; Palma de Oro: Mejor película: ;2004; El pianista 
20;Festival de Cannes ; Palma de Oro: Mejor película: ;2003; La habitación del hijo 
21;Festival de Cannes ; Palma de Oro: Mejor película: ;2002; Bailar en la oscuridad 
22;Festival de Cannes ; Palma de Oro: Mejor película: ;2001; Rosetta 
23;Festival de Cannes ; Palma de Oro: Mejor película: ;2000; La eternidad y un día 
24;Festival de Cannes ; Palma de Oro: Mejor película: ;1999; El sabor de las cerezas 
25;Festival de Cannes ; Palma de Oro: Mejor película: ;1998; La anguila 
26;Festival de Cannes ; Palma de Oro: Mejor película: ;1997; Secretos y mentiras 
27;Festival de Cannes ; Palma de Oro: Mejor película: ;1996; Underground 
28;Festival de Cannes ; Palma de Oro: Mejor película: ;1995; Pulp Fiction 
29;Festival de Cannes ; Palma de Oro: Mejor película: ;1994; El piano 
